Reporting Format Name,FLMD Standard Term
ESS-DIVE Amplicon Sequencing Reporting Format,ESS-DIVE Amplicon v1
ESS-DIVE Location Metadata Reporting Format,ESS-DIVE Location v1
ESS-DIVE Hydrologic Monitoring Reporting Format,ESS-DIVE Hydrologic Monitoring v1
ESS-DIVE Sample ID and Metadata Reporting Format,ESS-DIVE Sample v1
ESS-DIVE CSV File Formatting Guidelines Reporting Format,ESS-DIVE CSV v1
ESS-DIVE File Level Metadata Reporting Format,ESS-DIVE FLMD v1
ESS-DIVE Model Data Archiving Guidelines,ESS-DIVE Model Data v1
ESS-DIVE Soil Respiration Reporting Format,ESS-DIVE Soil Respiration v1
ESS-DIVE Water-Soil-Sediment Chemistry Reporting Format,ESS-DIVE Water-Soil-Sediment Chem v1
ESS-DIVE Leaf-Level Gas Exchange Reporting Format,ESS-DIVE Leaf-Level Gas Exchange v1
ESS-DIVE Unoccupied Aerial Systems (UAS) Reporting Format,ESS-DIVE UAS v1
